chi_gene	Ensembl Gene ID	Gene Start (bp)	Gene End (bp)	Associated Gene Name	Description	Chromosome Name
CARHR002780	AT1G03430	847873	849500	AHP5	histidine-containing phosphotransfer protein 5 [Source:EMBL;Acc:AEE27570.1]	1
CARHR002790	AT1G03440	852366	854032	AT1G03440	leucine-rich repeat-containing protein [Source:EMBL;Acc:AEE27571.1]	1
CARHR002830	AT1G03457	860788	864125	AT1G03457	RNA recognition motif-containing protein [Source:EMBL;Acc:AEE27574.1]	1
CARHR002840	AT1G03470	865915	867733	AT1G03470	kinase interacting (KIP1-like) protein [Source:EMBL;Acc:AEE27576.1]	1
CARHR002850	AT1G03475	869051	871211	LIN2	Coproporphyrinogen III oxidase [Source:EMBL;Acc:AEE27577.1]	1
CARHR002870	AT1G03510	876258	877547	AT1G03510	pentatricopeptide repeat-containing protein [Source:EMBL;Acc:AEE27580.1]	1
CARHR002880	AT1G03520	877862	880158	AT1G03520	core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase-like protein [Source:EMBL;Acc:AEE27582.1]	1
CARHR002890	AT1G03530	880496	883391	ATNAF1	nuclear assembly factor 1 [Source:EMBL;Acc:AEE27583.1]	1
CARHR002900	AT1G03540	883782	885611	AT1G03540	pentatricopeptide repeat-containing protein [Source:EMBL;Acc:AEE27584.1]	1
CARHR002910	AT1G03550	885623	887956	AT1G03550	secretory carrier-associated membrane protein 2 [Source:EMBL;Acc:AEE27585.1]	1
CARHR002920	AT1G03560	890156	892410	AT1G03560	pentatricopeptide repeat-containing protein [Source:EMBL;Acc:AEE27586.1]	1
CARHR002930	AT1G03590	894254	897518	AT1G03590	putative protein phosphatase 2C 1 [Source:EMBL;Acc:AEE27587.1]	1
CARHR002940	AT1G03600	898876	899655	PSB27	photosystem II Psb27 protein [Source:EMBL;Acc:AEE27588.1]	1
CARHR002950	AT1G03610	900887	903003	AT1G03610	uncharacterized protein [Source:EMBL;Acc:AEE27589.1]	1
CARHR002960	AT1G03620	904319	906186	AT1G03620	ELMO/CED-12 family protein [Source:EMBL;Acc:AEE27590.1]	1
CARHR002970	AT1G03630	907642	909376	POR C	protochlorophyllide reductase C [Source:EMBL;Acc:AEE27592.1]	1
CARHR002980	AT1G03650	910023	911193	AT1G03650	Acyl-CoA N-acyltransferases-like protein [Source:EMBL;Acc:AEE27593.1]	1
CARHR003010	AT1G03680	916819	918064	ATHM1	thioredoxin M1 [Source:EMBL;Acc:AEE27596.1]	1
CARHR003020	AT1G03687	918299	920507	AT1G03687	DTW domain-containing protein [Source:EMBL;Acc:AEE27598.1]	1
CARHR003030	AT1G03700	920950	921901	AT1G03700	UPF0497 membrane protein [Source:EMBL;Acc:AEE27599.1]	1
CARHR003060	AT1G03730	930828	931895	AT1G03730	uncharacterized protein [Source:EMBL;Acc:AEE27603.1]	1
CARHR003070	AT1G03740	933512	937043	AT1G03740	protein kinase domain-containing protein [Source:EMBL;Acc:AEE27605.1]	1
CARHR003080	AT1G03750	937920	941162	CHR9	switch 2 [Source:EMBL;Acc:AEE27606.1]	1
CARHR003090	AT1G03760	941062	943377	AT1G03760	Prefoldin chaperone subunit family protein [Source:EMBL;Acc:AEE27607.1]	1
CARHR003100	AT1G03770	944572	947483	RING1B	ubiquitin-protein ligase RNF1/2 [Source:EMBL;Acc:AEE27608.1]	1
CARHR003110	AT1G03780	947520	951827	TPX2	targeting protein for XKLP2 [Source:EMBL;Acc:AEE27612.1]	1
CARHR003120	AT1G03790	954525	956097	SOM	zinc finger CCCH domain-containing protein 2 [Source:EMBL;Acc:AEE27614.1]	1
CARHR003150	AT1G03820	959869	960728	AT1G03820	uncharacterized protein [Source:EMBL;Acc:AEE27617.1]	1
CARHR003160	AT1G03830	962016	966757	AT1G03830	guanylate-binding protein [Source:EMBL;Acc:AEE27619.1]	1
CARHR003170	AT1G03840	967503	970130	MGP	zinc finger protein MAGPIE [Source:EMBL;Acc:AEE27620.1]	1
CARHR003180	AT1G03850	976097	977761	AT1G03850	monothiol glutaredoxin-S13 [Source:EMBL;Acc:AEE27623.1]	1
CARHR003190	AT1G03860	979308	981885	ATPHB2	prohibitin 2 [Source:EMBL;Acc:AEE27624.1]	1
CARHR003200	AT1G03870	982506	983540	FLA9	fasciclin-like arabinogalactan protein 9 [Source:EMBL;Acc:AEE27627.1]	1
CARHR003210	AT1G03890	989198	991020	AT1G03890	RmlC-like cupin [Source:EMBL;Acc:AEE27629.1]	1
CARHR003220	AT1G03900	991139	993118	ATNAP4	non-intrinsic ABC protein 4 [Source:EMBL;Acc:AEE27630.1]	1
CARHR003230	AT1G03905	993400	995784	AT1G03905	ABC transporter I family member 19 [Source:EMBL;Acc:AEE27631.1]	1
CARHR003260	AT1G03920	1001321	1004383	AT1G03920	putative protein kinase MK6 [Source:EMBL;Acc:AEE27634.1]	1
CARHR003270	AT1G03930	1004769	1008370	ADK1	dual specificity kinase 1 [Source:EMBL;Acc:AEE27635.1]	1
CARHR003280	AT1G03940	1009542	1011056	AT1G03940	HXXXD-type acyl-transferase family protein [Source:EMBL;Acc:AEE27636.1]	1
CARHR003290	AT1G03950	1011172	1013365	VPS2.3	vacuolar protein sorting-associated protein 2.3 [Source:EMBL;Acc:AEE27637.1]	1
CARHR003310	AT1G03980	1018570	1022108	ATPCS2	glutathione gamma-glutamylcysteinyltransferase 2 [Source:EMBL;Acc:AEE27641.1]	1
CARHR003320	AT1G03970	1018100	1019247	GBF4	G-box binding factor 4 [Source:EMBL;Acc:AEE27640.1]	1
CARHR003330	AT1G03982	1022251	1023719	AT1G03982	PAK-box/P21-Rho-binding family protein [Source:EMBL;Acc:AEE27642.1]	1
CARHR003340	AT1G03990	1024847	1027616	AT1G03990	Long-chain fatty alcohol dehydrogenase-like protein [Source:EMBL;Acc:AEE27643.1]	1
CARHR003350	AT1G04000	1028106	1029119	AT1G04000	uncharacterized protein [Source:EMBL;Acc:AEE27644.1]	1
CARHR003360	AT1G04010	1031200	1036237	PSAT1	phospholipid sterol acyl transferase 1 [Source:EMBL;Acc:AEE27645.1]	1
CARHR003370	AT1G04020	1036537	1040224	BARD1	BRCA1-associated RING domain protein 1 [Source:EMBL;Acc:AEE27647.1]	1
CARHR003380	AT1G04030	1040383	1042892	AT1G04030	uncharacterized protein [Source:EMBL;Acc:AEE27648.1]	1
CARHR003390	AT1G04040	1042362	1043864	AT1G04040	HAD superfamily, subfamily IIIB acid phosphatase [Source:EMBL;Acc:AEE27649.1]	1
CARHR003400	AT1G04050	1045598	1049297	SUVR1	histone-lysine N-methyltransferase SUVR1 [Source:EMBL;Acc:AEE27650.1]	1
CARHR003410	AT1G04070	1050553	1051186	TOM22-I	mitochondrial import receptor subunit TOM22-1 [Source:EMBL;Acc:AEE27651.1]	1
CARHR003420	AT1G04080	1051312	1056827	PRP39	pre-mRNA-processing factor 39 [Source:EMBL;Acc:AEE27653.1]	1
CARHR003430	AT1G04090	1057151	1059419	AT1G04090	uncharacterized protein [Source:EMBL;Acc:AEE27655.1]	1
CARHR003440	AT1G04100	1059506	1061191	IAA10	auxin-responsive protein IAA10 [Source:EMBL;Acc:AEE27656.1]	1
CARHR003450	AT1G04110	1061457	1063784	SDD1	Subtilase-like protein [Source:EMBL;Acc:AEE27657.1]	1
CARHR003470	AT1G04120	1064450	1071047	MRP5	ABC transporter C family member 5 [Source:EMBL;Acc:AEE27658.1]	1
CARHR003480	AT1G04130	1073427	1075568	TPR2	tetratricopeptide repeat-containing protein [Source:EMBL;Acc:AEE27660.1]	1
CARHR003490	AT1G04140	1075543	1080630	AT1G04140	transducin/WD-40 repeat-containing protein [Source:EMBL;Acc:AEE27662.1]	1
CARHR003500	AT1G04160	1086495	1096146	XI-8	myosin XI B [Source:EMBL;Acc:AEE27664.1]	1
CARHR003510	AT1G04170	1096946	1099898	EIF2 GAMMA	translation initiation factor eIF-2 gamma subunit [Source:EMBL;Acc:AEE27665.1]	1
CARHR003520	AT1G04190	1106428	1108715	TPR3	tetratricopeptide repeat-containing protein [Source:EMBL;Acc:AEE27668.1]	1
CARHR003530	AT1G04200	1109482	1114107	AT1G04200	uncharacterized protein [Source:EMBL;Acc:AEE27669.1]	1
CARHR003540	AT1G04210	1114405	1119739	AT1G04210	leucine-rich repeat protein kinase-like protein [Source:EMBL;Acc:AEE27670.1]	1
CARHR003550	AT1G04220	1119699	1122526	KCS2	3-ketoacyl-CoA synthase 17 [Source:EMBL;Acc:AEE27671.1]	1
CARHR003560	AT1G04230	1125518	1128168	AT1G04230	uncharacterized protein [Source:EMBL;Acc:AEE27672.1]	1
CARHR003570	AT1G04240	1128188	1129551	IAA3	auxin-responsive protein IAA3 [Source:EMBL;Acc:AEE27673.1]	1
CARHR003580	AT1G04250	1136258	1138613	AXR3	auxin-responsive protein IAA17 [Source:EMBL;Acc:AEE27674.1]	1
CARHR003590	AT1G04260	1140528	1141365	MPI7	PRA1 family protein D [Source:EMBL;Acc:AEE27675.1]	1
CARHR003600	AT1G04270	1141604	1143053	RPS15	40S ribosomal protein S15-1 [Source:EMBL;Acc:AEE27676.1]	1
CARHR003610	AT1G04280	1143436	1146654	AT1G04280	protein H1flk [Source:EMBL;Acc:AEE27678.1]	1
CARHR003620	AT1G04290	1147523	1148533	AT1G04290	thioesterase-like protein [Source:EMBL;Acc:AEE27679.1]	1
CARHR003630	AT1G04300	1148597	1154652	AT1G04300	MATH domain-containing protein [Source:EMBL;Acc:AEE27681.1]	1
CARHR003640	AT1G04310	1154764	1157711	ERS2	ethylene response sensor 2 [Source:EMBL;Acc:AEE27684.1]	1
CARHR003650	AT1G04330	1161311	1161982	AT1G04330	uncharacterized protein [Source:EMBL;Acc:AEE27685.1]	1
CARHR003660	AT1G04340	1163097	1164851	AT1G04340	HR-like lesion-inducing protein-like protein [Source:EMBL;Acc:AEE27686.1]	1
CARHR003680	AT1G04350	1165165	1166768	AT1G04350	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase-like protein [Source:EMBL;Acc:AEE27687.1]	1
CARHR003690	AT1G04360	1167457	1168878	AT1G04360	RING-H2 finger protein ATL1 [Source:EMBL;Acc:AEE27688.1]	1
CARHR003700	AT1G04370	1175177	1175578	ATERF14	ethylene-responsive transcription factor 14 [Source:EMBL;Acc:AEE27689.1]	1
CARHR003720	AT1G04390	1179363	1183704	AT1G04390	BTB/POZ domain-containing protein [Source:EMBL;Acc:AEE27691.1]	1
CARHR003740	AT1G04400	1185550	1188517	ATCRY2	cryptochrome 2 [Source:EMBL;Acc:AEE27693.1]	1
CARHR003760	AT1G04420	1191608	1193884	AT1G04420	NAD(P)-linked oxidoreductase-like protein [Source:EMBL;Acc:AEE27695.1]	1
CARHR003770	AT1G04430	1198118	1201527	AT1G04430	putative methyltransferase PMT8 [Source:EMBL;Acc:AEE27697.1]	1
CARHR003780	AT1G04440	1202255	1205803	CKL13	casein kinase like 13 [Source:EMBL;Acc:AEE27698.1]	1
CARHR003800	AT1G04450	1208521	1209874	RIC3	ROP-interactive CRIB motif-containing protein 3 [Source:EMBL;Acc:AEE27700.1]	1
CARHR003810	AT1G04470	1211049	1214662	AT1G04470	uncharacterized protein [Source:EMBL;Acc:AEE27701.1]	1
CARHR003820	AT1G04480	1216095	1217467	AT1G04480	60S ribosomal protein L23 [Source:EMBL;Acc:AEE27702.1]	1
CARHR003830	AT1G04490	1217948	1220137	AT1G04490	uncharacterized protein [Source:EMBL;Acc:AEE27704.1]	1
CARHR003840	AT1G04500	1221433	1224366	AT1G04500	CCT motif-containing protein [Source:EMBL;Acc:AEE27705.1]	1
CARHR003850	AT1G04510	1226575	1230827	MAC3A	Pre-mRNA-processing factor 19 [Source:EMBL;Acc:AEE27707.1]	1
CARHR003860	AT1G04520	1231578	1234032	PDLP2	cysteine-rich repeat secretory protein 3 [Source:EMBL;Acc:AEE27709.1]	1
CARHR003870	AT1G04530	1234176	1236034	TPR4	tetratricopeptide repeat domain-containing protein [Source:EMBL;Acc:AEE27710.1]	1
CARHR003880	AT1G04540	1237256	1239061	AT1G04540	calcium-dependent lipid-binding domain-containing protein [Source:EMBL;Acc:AEE27711.1]	1
CARHR003890	AT1G04550	1240375	1242121	BDL	auxin-responsive protein IAA12 [Source:EMBL;Acc:AEE27712.1]	1
CARHR003900	AT1G04555	1242558	1244244	AT1G04555	uncharacterized protein [Source:EMBL;Acc:AEE27714.1]	1
CARHR003910	AT1G04560	1244947	1246059	AT1G04560	AWPM-19-like family protein [Source:EMBL;Acc:AEE27715.1]	1
CARHR003920	AT1G04570	1246728	1248775	AT1G04570	integral membrane transporter family protein [Source:EMBL;Acc:AEE27716.1]	1
CARHR003930	AT1G04580	1252122	1257510	AAO4	aldehyde oxidase 4 [Source:EMBL;Acc:AEE27717.1]	1
CARHR003940	AT1G04590	1258577	1261426	AT1G04590	uncharacterized protein [Source:EMBL;Acc:AEE27719.1]	1
CARHR003950	AT1G04600	1262123	1272376	XIA	myosin XI A [Source:EMBL;Acc:AEE27720.1]	1
CARHR003960	AT1G04610	1279388	1281618	YUC3	YUCCA family monooxygenase [Source:EMBL;Acc:AEE27721.1]	1
CARHR003970	AT1G04620	1282741	1286584	AT1G04620	coenzyme F420 hydrogenase beta subunit [Source:EMBL;Acc:AEE27722.1]	1
CARHR003980	AT1G04630	1289734	1291112	MEE4	GRIM-19 protein [Source:EMBL;Acc:AEE27724.1]	1
CARHR003990	AT1G04635	1291314	1291995	EMB1687	putative ribonuclease P/MRP protein subunit POP5 [Source:EMBL;Acc:AEE27725.1]	1
CARHR004000	AT1G04640	1292080	1293357	LIP2	lipoyl(octanoyl) transferase [Source:EMBL;Acc:AEE27727.1]	1
CARHR004020	AT1G04645	1293770	1294263	AT1G04645	self-incompatibility protein S1-like protein [Source:EMBL;Acc:AEE27728.1]	1
CARHR004030	AT1G04650	1294893	1299002	AT1G04650	uncharacterized protein [Source:EMBL;Acc:AEE27729.1]	1
CARHR004040	AT1G04660	1300486	1301773	AT1G04660	glycine-rich protein [Source:EMBL;Acc:AEE27730.1]	1
CARHR004050	AT1G04670	1301861	1302724	AT1G04670	uncharacterized protein [Source:EMBL;Acc:AEE27731.1]	1
CARHR004060	AT1G04680	1303529	1307884	AT1G04680	putative pectate lyase 1 [Source:EMBL;Acc:AEE27732.1]	1
CARHR004070	AT1G04690	1313564	1315750	KAB1	potassium channel beta subunit 1 [Source:EMBL;Acc:AEE27734.1]	1
CARHR004080	AT1G04700	1316254	1320919	AT1G04700	PB1 domain-containing protein tyrosine kinase [Source:EMBL;Acc:AEE27735.1]	1
CARHR004090	AT1G50920	18870139	18872930	AT1G50920	putative nucleolar GTP-binding protein 1 [Source:EMBL;Acc:AEE32601.1]	1
CARHR004100	AT1G04710	1321904	1324782	KAT1	acetyl-CoA acyltransferase 1 [Source:EMBL;Acc:AEE27736.1]	1
CARHR004120	AT1G04730	1325296	1331086	CTF18	chromosome transmission fidelity protein 18 [Source:EMBL;Acc:AEE27737.1]	1
CARHR004130	AT1G04750	1331466	1333567	ATVAMP721	vesicle-associated membrane protein 721 [Source:EMBL;Acc:AEE27738.1]	1
CARHR004140	AT1G04760	1334760	1336070	ATVAMP726	vesicle-associated membrane protein 72 [Source:EMBL;Acc:AEE27740.1]	1
CARHR004150	AT1G04770	1336371	1337849	AT1G04770	male sterility MS5 family protein [Source:EMBL;Acc:AEE27741.1]	1
CARHR004170	AT1G04780	1340669	1343584	AT1G04780	ankyrin repeat-containing protein [Source:EMBL;Acc:AEE27743.1]	1
CARHR004180	AT1G04790	1345036	1348451	AT1G04790	RING/U-box domain-containing protein [Source:EMBL;Acc:AEE27744.1]	1
CARHR004210	AT1G04810	1350180	1355442	AT1G04810	26S proteasome regulatory subunit N2 [Source:EMBL;Acc:AEE27746.1]	1
CARHR004220	AT1G04830	1358574	1362019	AT1G04830	RabGAP/TBC domain-containing protein [Source:EMBL;Acc:AEE27748.1]	1
CARHR004230	AT1G04840	1362867	1364962	AT1G04840	pentatricopeptide repeat-containing protein [Source:EMBL;Acc:AEE27750.1]	1
CARHR004240	AT1G04850	1365118	1368844	AT1G04850	ubiquitin-associated (UBA)/TS-N domain-containing protein [Source:EMBL;Acc:AEE27751.1]	1
CARHR004250	AT1G04860	1369054	1373101	UBP2	ubiquitin carboxyl-terminal hydrolase 2 [Source:EMBL;Acc:AEE27752.1]	1
CARHR004260	AT1G04870	1373234	1375762	PRMT10	putative protein arginine N-methyltransferase 4.2 [Source:EMBL;Acc:AEE27753.1]	1
CARHR004270	AT1G04880	1375961	1379185	AT1G04880	high mobility group-box and ARID domain-binding domain-containing protein [Source:EMBL;Acc:AEE27755.1]	1
CARHR004280	AT1G04890	1380382	1382599	AT1G04890	uncharacterized protein [Source:EMBL;Acc:AEE27756.1]	1
CARHR004300	AT1G04900	1383841	1387895	AT1G04900	uncharacterized protein [Source:EMBL;Acc:AEE27757.1]	1
CARHR004310	AT1G04910	1387871	1391187	AT1G04910	O-fucosyltransferase-like protein [Source:EMBL;Acc:AEE27758.1]	1
CARHR004320	AT1G04920	1391502	1395864	ATSPS3F	sucrose-phosphate synthase [Source:EMBL;Acc:AEE27759.1]	1
CARHR004330	AT1G04930	1396291	1399053	AT1G04930	hydroxyproline-rich glycoprotein family protein [Source:EMBL;Acc:AEE27761.1]	1
CARHR004340	AT1G04940	1399182	1400770	TIC20	translocon at the inner envelope membrane of chloroplasts 20 [Source:EMBL;Acc:AEE27765.1]	1
CARHR004350	AT1G04945	1399174	1403112	AT1G04945	HIT-type Zinc finger family protein [Source:EMBL;Acc:AEE27762.1]	1
CARHR004360	AT1G04950	1403085	1407501	ATTAF6	transcription initiation factor TFIID subunit D5 [Source:EMBL;Acc:AEE27768.1]	1
CARHR004370	AT1G04960	1407801	1410868	AT1G04960	uncharacterized protein [Source:EMBL;Acc:AEE27770.1]	1
CARHR004380	AT1G04970	1411170	1413627	AT1G04970	lipid-binding serum glycoprotein-like protein [Source:EMBL;Acc:AEE27772.1]	1
CARHR004390	AT1G04980	1413644	1416144	ATPDI10	protein disulfide-isomerase A6 [Source:EMBL;Acc:AEE27773.1]	1
CARHR004400	AT1G04985	1416343	1418482	AT1G04985	uncharacterized protein [Source:EMBL;Acc:AEE27774.1]	1
CARHR004410	AT1G04990	1419080	1421789	AT1G04990	zinc finger CCCH domain-containing protein 3 [Source:EMBL;Acc:AEE27776.1]	1
CARHR004420	AT1G05000	1425593	1428782	AT1G05000	putative tyrosine-protein phosphatase [Source:EMBL;Acc:AEE27777.1]	1
CARHR004440	AT1G05010	1431190	1432858	EFE	1-aminocyclopropane-1-carboxylate oxidase [Source:EMBL;Acc:AEE27779.1]	1
CARHR004450	AT1G05020	1435254	1437667	AT1G05020	clathrin coat assembly protein AP180 [Source:EMBL;Acc:AEE27780.1]	1
CARHR004460	AT1G05030	1438152	1441417	AT1G05030	putative plastidic glucose transporter 1 [Source:EMBL;Acc:AEE27781.1]	1
CARHR004500	AT1G05055	1448718	1450887	ATGTF2H2	transcription initiation factor TFIIH subunit H2 [Source:EMBL;Acc:AEE27784.1]	1
CARHR004510	AT1G05060	1451030	1452872	AT1G05060	uncharacterized protein [Source:EMBL;Acc:AEE27785.1]	1
CARHR004540	AT1G05070	1457063	1458744	AT1G05070	uncharacterized protein [Source:EMBL;Acc:AEE27787.1]	1
CARHR004550	AT4G20720	11105318	11108053	AT4G20720	dentin sialophosphoprotein-related protein [Source:EMBL;Acc:AEE84356.1]	4
CARHR004560	AT1G05100	1469610	1470881	MAPKKK18	mitogen-activated protein kinase kinase kinase 18 [Source:EMBL;Acc:AEE27791.1]	1
CARHR004580	AT1G05120	1471406	1476078	AT1G05120	Helicase protein with RING/U-box domain [Source:EMBL;Acc:AEE27792.1]	1
CARHR004600	AT1G05150	1484067	1486960	AT1G05150	Calcium-binding tetratricopeptide family protein [Source:EMBL;Acc:AEE27795.1]	1
CARHR004610	AT1G05140	1482548	1484056	AT1G05140	peptidase M50-like protein [Source:EMBL;Acc:AEE27794.1]	1
CARHR004620	AT1G05160	1487378	1490947	CYP88A3	Ent-kaurenoic acid oxidase 1 [Source:EMBL;Acc:AEE27796.1]	1
CARHR004630	AT1G05170	1491111	1494248	AT1G05170	putative beta-1,3-galactosyltransferase 2 [Source:EMBL;Acc:AEE27798.1]	1
CARHR004640	AT1G05180	1498114	1501824	AXR1	amyloid beta precursor protein binding protein 1 [Source:EMBL;Acc:AEE27801.1]	1
CARHR004660	AT1G05190	1502344	1503830	emb2394	50S ribosomal protein L6 [Source:EMBL;Acc:AEE27802.1]	1
CARHR004670	AT1G05200	1504960	1509152	ATGLR3.4	glutamate receptor 3.4 [Source:EMBL;Acc:AEE27804.1]	1
CARHR004680	AT1G05205	1509103	1510281	AT1G05205	uncharacterized protein [Source:EMBL;Acc:AEE27805.1]	1
CARHR004690	AT1G05210	1510404	1511683	AT1G05210	putative transmembrane protein 97 [Source:EMBL;Acc:AEE27806.1]	1
CARHR004700	AT1G05230	1512896	1518805	HDG2	homeobox-leucine zipper protein HDG2 [Source:EMBL;Acc:AEE27812.1]	1
CARHR004710	AT1G05250	1525601	1527234	AT1G05250	peroxidase 1/2 [Source:EMBL;Acc:AEE27814.1]	1
CARHR004730	AT1G05260	1529767	1531439	RCI3	peroxidase 3 [Source:EMBL;Acc:AEE27815.1]	1
CARHR004740	AT1G05270	1531641	1534410	AT1G05270	TraB-like protein [Source:EMBL;Acc:AEE27816.1]	1
CARHR004750	AT1G05280	1535444	1537525	AT1G05280	uncharacterized protein [Source:EMBL;Acc:AEE27817.1]	1
CARHR004760	AT4G34880	16615549	16617424	AT4G34880	Amidase family protein [Source:EMBL;Acc:AEE86432.1]	4
CARHR004770	AT1G05290	1539152	1540562	AT1G05290	CCT motif-containing protein [Source:EMBL;Acc:AEE27818.1]	1
CARHR004790	AT1G05300	1545106	1547849	ZIP5	zinc transporter 5 [Source:EMBL;Acc:AEE27821.1]	1
CARHR004800	AT1G05310	1550543	1552517	AT1G05310	putative pectinesterase 8 [Source:EMBL;Acc:AEE27822.1]	1
CARHR004810	AT1G05320	1553603	1557733	AT1G05320	uncharacterized protein [Source:EMBL;Acc:AEE27825.1]	1
CARHR004830	AT1G05340	1558844	1559903	AT1G05340	uncharacterized protein [Source:EMBL;Acc:AEE27827.1]	1
CARHR004850	AT1G05350	1560678	1564123	AT1G05350	ubiquitin-like modifier-activating enzyme 5 [Source:EMBL;Acc:AEE27828.1]	1
CARHR004860	AT3G61650	22812601	22815011	TUBG1	tubulin gamma-1 chain [Source:EMBL;Acc:AEE80236.1]	3
CARHR004870	AT1G05360	1564598	1567465	AT1G05360	uncharacterized protein [Source:EMBL;Acc:AEE27829.1]	1
CARHR004880	AT1G05370	1569192	1572280	AT1G05370	Sec.4-like phosphatidylinositol transfer family protein [Source:EMBL;Acc:AEE27830.1]	1
CARHR004890	AT1G05380	1576863	1582614	AT1G05380	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein [Source:EMBL;Acc:AEE27832.1]	1
CARHR004900	AT1G05385	1582671	1583718	LPA19	LOW PSII accumulation 19 protein [Source:EMBL;Acc:AEE27833.1]	1
CARHR004910	AT1G05420	1590073	1590753	ATOFP12	ovate family protein 12 [Source:EMBL;Acc:AEE27838.1]	1
CARHR004920	AT1G05410	1585371	1587778	AT1G05410	uncharacterized protein [Source:EMBL;Acc:AEE27836.1]	1
CARHR004930	AT1G05440	1596007	1597848	AT1G05440	C-8 sterol isomerase [Source:EMBL;Acc:AEE27840.1]	1
CARHR004940	AT1G05450	1599911	1601214	AT1G05450	bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin-like protein [Source:EMBL;Acc:AEE27842.1]	1
CARHR004950	AT1G05460	1601148	1605027	SDE3	putative RNA helicase SDE3 [Source:EMBL;Acc:AEE27843.1]	1
CARHR004960	AT1G05470	1607357	1611703	CVP2	Type I inositol-1,4,5-trisphosphate 5-phosphatase CVP2 [Source:EMBL;Acc:AEE27844.1]	1
CARHR004970	AT1G05490	1618602	1623452	chr31	chromatin remodeling 31 [Source:EMBL;Acc:AEE27845.1]	1
CARHR004980	AT1G05500	1624955	1629224	NTMC2T2.1	calcium-dependent lipid-binding domain-containing protein [Source:EMBL;Acc:AEE27846.1]	1
CARHR004990	AT1G05510	1629446	1630863	AT1G05510	uncharacterized protein [Source:EMBL;Acc:AEE27847.1]	1
CARHR005000	AT1G05520	1630900	1635711	AT1G05520	sec23/sec24-like transport protein [Source:EMBL;Acc:AEE27848.1]	1
CARHR005010	AT1G05530	1636496	1637863	UGT2	indole-3-acetate beta-glucosyltransferase 2 [Source:EMBL;Acc:AEE27849.1]	1
CARHR005020	AT1G05540	1639286	1640811	AT1G05540	uncharacterized protein [Source:EMBL;Acc:AEE27850.1]	1
CARHR005030	AT1G05560	1645498	1647147	UGT1	indole-3-acetate beta-glucosyltransferase 1 [Source:EMBL;Acc:AEE27854.1]	1
CARHR005040	AT1G05570	1647706	1659437	ATGSL06	callose synthase 1 [Source:EMBL;Acc:AEE27855.1]	1
CARHR005060	AT1G05575	1661691	1662187	AT1G05575	uncharacterized protein [Source:EMBL;Acc:AEE27857.1]	1
CARHR005070	AT1G05577	1662370	1664398	AT1G05577	uncharacterized protein [Source:EMBL;Acc:AEE27858.1]	1
CARHR005080	AT1G05580	1665433	1668904	ATCHX23	cation/H(+) antiporter 23 [Source:EMBL;Acc:AEE27860.1]	1
CARHR005090	AT1G05590	1669350	1671876	HEXO2	beta-hexosaminidase 2 [Source:EMBL;Acc:AEE27861.1]	1
CARHR005100	AT1G05600	1671936	1673856	AT1G05600	pentatricopeptide repeat-containing protein [Source:EMBL;Acc:AEE27863.1]	1
